Review_ID,Review_Text,Clinic_Rating,Date
0,The doctor was very dismissive.,4,2025-01-01 00:00:00
1,Front desk staff was quite rude.,5,2025-01-01 01:00:00
2,Excellent facility and friendly staff.,4,2025-01-01 02:00:00
3,Very professional care.,5,2025-01-01 03:00:00
4,Scheduling an appointment is a nightmare.,4,2025-01-01 04:00:00
5,Excellent facility and friendly staff.,5,2025-01-01 05:00:00
6,Very professional care.,3,2025-01-01 06:00:00
7,The doctor was very dismissive.,4,2025-01-01 07:00:00
8,Excellent facility and friendly staff.,4,2025-01-01 08:00:00
9,Great service but long wait times.,5,2025-01-01 09:00:00
10,The doctor was very dismissive.,3,2025-01-01 10:00:00
11,"Clean clinic, highly recommended.",2,2025-01-01 11:00:00
12,Front desk staff was quite rude.,4,2025-01-01 12:00:00
13,Very professional care.,3,2025-01-01 13:00:00
14,Great service but long wait times.,4,2025-01-01 14:00:00
15,Excellent facility and friendly staff.,5,2025-01-01 15:00:00
16,"Clean clinic, highly recommended.",5,2025-01-01 16:00:00
17,Waited 2 hours for a 5 minute checkup.,3,2025-01-01 17:00:00
18,Front desk staff was quite rude.,2,2025-01-01 18:00:00
19,Great service but long wait times.,4,2025-01-01 19:00:00
20,Waited 2 hours for a 5 minute checkup.,4,2025-01-01 20:00:00
21,Scheduling an appointment is a nightmare.,4,2025-01-01 21:00:00
22,Great service but long wait times.,5,2025-01-01 22:00:00
23,"Clean clinic, highly recommended.",4,2025-01-01 23:00:00
24,Waited 2 hours for a 5 minute checkup.,2,2025-01-02 00:00:00
25,Scheduling an appointment is a nightmare.,5,2025-01-02 01:00:00
26,Front desk staff was quite rude.,1,2025-01-02 02:00:00
27,Waited 2 hours for a 5 minute checkup.,1,2025-01-02 03:00:00
28,Excellent facility and friendly staff.,5,2025-01-02 04:00:00
29,The doctor was very dismissive.,4,2025-01-02 05:00:00
30,Front desk staff was quite rude.,4,2025-01-02 06:00:00
31,Waited 2 hours for a 5 minute checkup.,3,2025-01-02 07:00:00
32,Excellent facility and friendly staff.,1,2025-01-02 08:00:00
33,The doctor was very dismissive.,3,2025-01-02 09:00:00
34,The doctor was very dismissive.,4,2025-01-02 10:00:00
35,"Clean clinic, highly recommended.",3,2025-01-02 11:00:00
36,Very professional care.,4,2025-01-02 12:00:00
37,Scheduling an appointment is a nightmare.,5,2025-01-02 13:00:00
38,Very professional care.,4,2025-01-02 14:00:00
39,Front desk staff was quite rude.,5,2025-01-02 15:00:00
40,Scheduling an appointment is a nightmare.,5,2025-01-02 16:00:00
41,Great service but long wait times.,5,2025-01-02 17:00:00
42,Excellent facility and friendly staff.,4,2025-01-02 18:00:00
43,"Clean clinic, highly recommended.",3,2025-01-02 19:00:00
44,Waited 2 hours for a 5 minute checkup.,4,2025-01-02 20:00:00
45,Excellent facility and friendly staff.,5,2025-01-02 21:00:00
46,Waited 2 hours for a 5 minute checkup.,3,2025-01-02 22:00:00
47,Very professional care.,5,2025-01-02 23:00:00
48,Front desk staff was quite rude.,4,2025-01-03 00:00:00
49,Waited 2 hours for a 5 minute checkup.,1,2025-01-03 01:00:00
50,Very professional care.,4,2025-01-03 02:00:00
51,Very professional care.,1,2025-01-03 03:00:00
52,Waited 2 hours for a 5 minute checkup.,1,2025-01-03 04:00:00
53,Great service but long wait times.,5,2025-01-03 05:00:00
54,Very professional care.,4,2025-01-03 06:00:00
55,Great service but long wait times.,4,2025-01-03 07:00:00
56,"Clean clinic, highly recommended.",3,2025-01-03 08:00:00
57,Great service but long wait times.,4,2025-01-03 09:00:00
58,"Clean clinic, highly recommended.",2,2025-01-03 10:00:00
59,Great service but long wait times.,5,2025-01-03 11:00:00
60,Scheduling an appointment is a nightmare.,5,2025-01-03 12:00:00
61,"Clean clinic, highly recommended.",5,2025-01-03 13:00:00
62,Scheduling an appointment is a nightmare.,2,2025-01-03 14:00:00
63,Very professional care.,4,2025-01-03 15:00:00
64,Scheduling an appointment is a nightmare.,5,2025-01-03 16:00:00
65,Front desk staff was quite rude.,2,2025-01-03 17:00:00
66,"Clean clinic, highly recommended.",1,2025-01-03 18:00:00
67,Excellent facility and friendly staff.,5,2025-01-03 19:00:00
68,Very professional care.,5,2025-01-03 20:00:00
69,Very professional care.,4,2025-01-03 21:00:00
70,The doctor was very dismissive.,2,2025-01-03 22:00:00
71,Front desk staff was quite rude.,4,2025-01-03 23:00:00
72,Great service but long wait times.,3,2025-01-04 00:00:00
73,Waited 2 hours for a 5 minute checkup.,4,2025-01-04 01:00:00
74,Great service but long wait times.,4,2025-01-04 02:00:00
75,Waited 2 hours for a 5 minute checkup.,4,2025-01-04 03:00:00
76,Excellent facility and friendly staff.,5,2025-01-04 04:00:00
77,The doctor was very dismissive.,5,2025-01-04 05:00:00
78,Excellent facility and friendly staff.,4,2025-01-04 06:00:00
79,The doctor was very dismissive.,2,2025-01-04 07:00:00
80,"Clean clinic, highly recommended.",3,2025-01-04 08:00:00
81,"Clean clinic, highly recommended.",1,2025-01-04 09:00:00
82,Waited 2 hours for a 5 minute checkup.,4,2025-01-04 10:00:00
